Date,Open,High,Low,Close,Volume,RSI_14,Buy_Sell
2025-04-17,1274.5,1280.199951171875,1227.5999755859375,1240.199951171875,15398401,40.13445938278997,0
2025-04-21,1295.5,1300.9000244140625,1267.0,1270.0,10429964,47.04391851255654,0
2025-04-22,1291.199951171875,1303.9000244140625,1286.300048828125,1300.0,13051707,52.93406432369895,0
2025-04-23,1300.0,1306.0,1285.4000244140625,1297.0,10480888,52.275769745649264,0
2025-04-24,1301.5999755859375,1304.5,1290.300048828125,1292.4000244140625,10468940,53.83237559562715,0
2025-04-25,1300.4000244140625,1325.199951171875,1288.0999755859375,1303.5,14431012,57.841618944901896,0
2025-04-28,1368.800048828125,1374.5999755859375,1320.199951171875,1340.0,31104496,64.11880543523102,0
2025-04-29,1399.699951171875,1410.9000244140625,1370.0,1371.0,32538970,66.1687827644165,0
2025-04-30,1405.0,1412.4000244140625,1369.0,1402.0,25480745,91.66152071387371,-1
2025-05-02,1419.800048828125,1426.699951171875,1409.0999755859375,1414.0,13007841,90.8783783783784,-1
2025-05-05,1431.300048828125,1439.5,1426.9000244140625,1431.0,12685649,92.10950080515298,-1
2025-05-06,1420.9000244140625,1432.0,1410.5999755859375,1431.0,14084117,91.39898118312864,-1
2025-05-07,1406.0,1424.4000244140625,1402.699951171875,1420.9000244140625,13440169,85.52907606905984,-1
2025-05-08,1407.0,1420.800048828125,1398.0,1404.0999755859375,16106175,85.56485355648536,-1
2025-05-09,1377.199951171875,1394.800048828125,1374.5,1385.5,13668904,78.88668962785786,-1
2025-05-12,1436.5,1439.0,1400.0,1400.0,10674081,77.51905733998295,-1
2025-05-13,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11407896,77.84731480906203,-1
2025-05-14,1424.4000244140625,1429.9000244140625,1415.5,1420.0,5570160,74.58034052842501,-1
2025-05-15,1454.199951171875,1461.4000244140625,1412.699951171875,1425.0,20177211,76.45650209580036,-1
2025-05-16,1456.4000244140625,1461.0,1447.300048828125,1453.199951171875,9036695,77.96039941668893,-1
2025-05-19,1440.800048828125,1454.5999755859375,1438.199951171875,1452.0999755859375,6195791,74.12828474604059,-1
2025-05-20,1424.5999755859375,1445.0,1421.800048828125,1438.199951171875,11270560,65.6133750974237,0
2025-05-21,1429.199951171875,1436.199951171875,1418.0999755859375,1423.9000244140625,6136364,55.51638233798308,0
2025-05-22,1409.4000244140625,1423.800048828125,1396.9000244140625,1421.199951171875,12134466,51.902736001589744,0
2025-05-23,1426.800048828125,1433.800048828125,1406.5999755859375,1406.5999755859375,6474883,43.46894165389654,0
2025-05-26,1434.800048828125,1441.0,1425.0999755859375,1432.0,4842944,50.23562682141949,0
2025-05-27,1422.0999755859375,1437.0,1413.9000244140625,1426.0999755859375,12640414,51.24998826246996,0
