Price,Close,High,Low,Open,Volume,RSI,SMA20
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2025-06-18,1430.0999755859375,1442.800048828125,1425.699951171875,1430.0,6681735,55.078408109244165,1428.905010986328
2025-06-19,1433.300048828125,1439.9000244140625,1425.699951171875,1430.0999755859375,10007230,55.11550822713479,1430.1000122070313
2025-06-20,1466.199951171875,1471.0,1428.0999755859375,1431.0,29010635,67.8692810240268,1432.0700073242188
2025-06-23,1456.800048828125,1463.800048828125,1442.0,1453.0,5989078,67.31938386266151,1433.1700073242187
2025-06-24,1450.800048828125,1475.0,1443.0999755859375,1465.0,16402744,60.029400896198155,1434.6050109863281
2025-06-25,1467.300048828125,1472.4000244140625,1460.5,1464.0,7525851,59.31189632520171,1437.3250122070312
2025-06-26,1495.300048828125,1498.800048828125,1465.0999755859375,1469.0999755859375,14657893,66.12702905666916,1441.2000122070312
2025-06-27,1515.4000244140625,1522.0,1496.9000244140625,1499.4000244140625,11117052,68.98516713678346,1445.9250122070312
2025-06-30,1500.5999755859375,1524.800048828125,1496.0,1513.800048828125,8409527,67.25957953263159,1450.2700134277343
2025-07-01,1528.4000244140625,1531.4000244140625,1500.0999755859375,1500.5999755859375,10368523,70.14697930187926,1456.4150146484376
2025-07-02,1518.800048828125,1530.0,1508.699951171875,1528.4000244140625,6361002,69.33869806736251,1461.1800170898437
2025-07-03,1517.800048828125,1531.9000244140625,1513.0,1520.800048828125,11283291,74.05029766472795,1464.950018310547
2025-07-04,1527.300048828125,1530.0,1517.199951171875,1524.0,6603501,73.99463806970509,1469.1400207519532
2025-07-07,1541.5,1544.800048828125,1525.0,1526.5999755859375,7251074,78.41322309891538,1473.7750183105468
2025-07-08,1537.5999755859375,1544.9000244140625,1530.199951171875,1536.0,7171261,77.29813441256191,1478.7300170898438
2025-07-09,1519.0,1551.0,1510.0999755859375,1536.699951171875,8870660,70.1837093769406,1482.2350158691406
2025-07-10,1517.199951171875,1524.699951171875,1507.5,1519.699951171875,10047129,64.072851474343,1486.0150146484375
2025-07-11,1495.199951171875,1515.0,1490.300048828125,1512.0,7234991,59.90709305182004,1489.3800109863282
2025-07-14,1483.699951171875,1500.0,1479.0999755859375,1492.199951171875,10311846,58.25386208814295,1491.6750061035157
2025-07-15,1485.4000244140625,1496.5,1482.4000244140625,1486.199951171875,8132454,54.905139189837406,1494.385009765625
2025-07-16,1485.5999755859375,1491.0,1471.5,1473.0,10409983,46.90489192458909,1497.160009765625
2025-07-17,1476.4000244140625,1489.5999755859375,1473.9000244140625,1487.4000244140625,11854613,36.625518882378856,1499.315008544922
2025-07-18,1476.0,1484.800048828125,1469.0999755859375,1484.800048828125,10296318,40.63928043558842,1499.8050109863282
2025-07-21,1428.5999755859375,1476.0,1423.0999755859375,1465.0,22442744,16.953626215852637,1498.3950073242188
2025-07-22,1412.800048828125,1431.9000244140625,1410.699951171875,1427.4000244140625,20396320,16.284976805080376,1496.4950073242187
2025-07-23,1424.5999755859375,1426.0,1414.4000244140625,1426.0,8354596,22.26186280885446,1494.3600036621094
2025-07-24,1402.9000244140625,1423.0,1396.0,1419.199951171875,14740507,15.482757382652863,1489.7400024414062
2025-07-25,1391.699951171875,1401.0,1384.0999755859375,1398.9000244140625,11854722,7.731351550196948,1483.554998779297
2025-07-28,1387.5999755859375,1407.800048828125,1385.0,1392.300048828125,7748361,7.722637380785272,1477.9049987792969
2025-07-29,1417.0999755859375,1420.199951171875,1383.0,1383.0,10750072,22.942096641087858,1472.3399963378906
2025-07-30,1410.0999755859375,1423.300048828125,1401.300048828125,1418.0999755859375,7209849,22.325570245358335,1466.9049926757812
2025-07-31,1390.199951171875,1402.5999755859375,1382.199951171875,1388.0999755859375,17065827,22.570518920270317,1460.5249877929687
2025-08-01,1393.699951171875,1405.9000244140625,1384.300048828125,1386.9000244140625,10321171,25.4634547647383,1453.8449829101562
