,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,2025-03-06,3557.795654296875,3565.550034007974,3493.092297722642,3513.738005107593,2786513,3734.505053710937,,0,0.015378958713245128,0.0,0.880349993457513,1.0
1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,2025-03-07,3567.27880859375,3580.9110146215976,3530.926339576579,3556.2150765897245,2051315,3711.214306640625,,0,0.0026654578335385537,0.0,0.8826965292438299,1.0
1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,2025-03-10,3545.990966796875,3578.0464882486435,3539.0269050026495,3562.6361259918417,1004626,3689.494226074218,,0,-0.005967529576211272,-0.0,0.8774290115987483,1.0
1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,2025-03-11,3531.815673828125,3545.1020407658093,3494.623445019518,3514.7260358188087,1995450,3666.692468261719,,0,-0.003997554731944186,-0.0,0.8739214411014866,1.0
1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,2025-03-12,3463.555908203125,3525.8391128612507,3444.4413966520915,3521.640803348143,3174167,3644.103088378906,,0,-0.01932710309057928,-0.0,0.8570310713162506,1.0
1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000027,2025-03-13,3468.34716796875,3481.4360158451636,3441.724993541169,3459.7035891824394,1693004,3622.415124511719,,0,0.0013833354773564732,0.0,0.8582166328023991,1.0
1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000028,2025-03-17,3455.159423828125,3487.5111042781473,3435.057073961186,3446.565285194742,2690906,3602.0434448242186,,0,-0.0038023137540607044,-0.0,0.8549534238955309,1.0
1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000029,2025-03-18,3455.159423828125,3455.159423828125,3455.159423828125,3455.159423828125,0,3580.451794433594,,0,0.0,0.0,0.8549534238955309,1.0
1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000030,2025-03-19,3454.56689453125,3503.8598932625678,3420.634577218764,3503.8598932625678,3051244,3560.329553222656,,0,-0.000171491159796755,-0.0,0.8548068069412948,1.0
1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000031,2025-03-20,3519.813232421875,3535.4211137803227,3469.285438744659,3469.285438744659,2845192,3545.015588378906,,0,0.018886980591955815,0.0,0.8709515265138668,1.0
1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000032,2025-03-21,3534.581787109375,3572.267694804508,3422.857258900137,3432.735634827699,4161925,3534.840869140625,,0,0.004195834753805361,0.0,0.8746058951976935,1.0
1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000033,2025-03-24,3584.81298828125,3605.360057323045,3523.2214624383355,3556.215139766549,1834751,3527.40986328125,,0,0.014211356306725875,0.0,0.8870352312023109,1.0
1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000034,2025-03-25,3613.2626953125,3664.877205825815,3593.752904257228,3600.6677669097294,3135390,3521.075341796875,,0,0.00793617606392627,0.0,0.894074898972038,1.0
1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000035,2025-03-26,3591.57958984375,3635.7358773567735,3581.7506550649064,3603.3841996001006,1734499,3519.1095336914063,,0,-0.006000976761772581,-0.0,0.8887095762800226,1.0
1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000036,2025-03-27,3606.79248046875,3618.449012006768,3566.5875396807087,3570.884729570523,2528474,3520.1788696289063,,0,0.004235710289706152,0.0,0.8924738925768323,1.0
1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000037,2025-03-28,3562.290283203125,3616.4238291582196,3548.2135981206075,3606.5948937734543,2051919,3519.862756347656,,0,-0.012338441290041025,-0.0,0.8814621558503787,1.0
1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000038,2025-04-01,3507.613525390625,3540.4096829245336,3482.1272690594255,3529.2470706788267,2618493,3523.199169921875,,0,-0.015348765391274055,-0.0,0.8679328000189446,1.0
1970-01-01 00:00:00.000000039,1970-01-01 00:00:00.000000039,1970-01-01 00:00:00.000000039,2025-04-02,3500.846923828125,3520.7519956565757,3487.1160780114287,3500.8963639411054,1764313,3525.713220214844,,0,-0.001929118334593749,-0.0,0.8662584549412328,1.0
1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000040,2025-04-03,3361.75927734375,3459.407116080848,3354.8444144618065,3448.5409029806515,4537821,3519.3465942382813,,0,-0.03972971384086821,-0.0,0.8318422544141849,1.0
1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000041,2025-04-04,3259.271240234375,3358.301958396606,3255.4187701110422,3321.702768711085,5317367,3507.114697265625,,0,-0.03048642947164093,-0.0,0.806482354193456,1.0
